IPL Matches 2008-2020[id],IPL Matches 2008-2020[city],IPL Matches 2008-2020[date],IPL Matches 2008-2020[player_of_match],IPL Matches 2008-2020[venue],IPL Matches 2008-2020[neutral_venue],IPL Matches 2008-2020[team1],IPL Matches 2008-2020[team2],IPL Matches 2008-2020[toss_winner],IPL Matches 2008-2020[toss_decision],IPL Matches 2008-2020[winner],IPL Matches 2008-2020[result],IPL Matches 2008-2020[result_margin],IPL Matches 2008-2020[eliminator],IPL Matches 2008-2020[method],IPL Matches 2008-2020[umpire1],IPL Matches 2008-2020[umpire2]
335987,Jaipur,"Mon, 21 Apr 2008 00:00:00",SR Watson,Sawai Mansingh Stadium,0,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,bat,Rajasthan Royals,wickets,6,N,NA,Aleem Dar,RB Tiffin
336006,Bangalore,"Mon, 05 May 2008 00:00:00",S Sreesanth,M Chinnaswamy Stadium,0,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,wickets,6,N,NA,SJ Davis,BR Doctrove
336027,Kolkata,"Tue, 20 May 2008 00:00:00",YK Pathan,Eden Gardens,0,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,6,N,NA,BG Jerling,RE Koertzen
336031,Chandigarh,"Fri, 23 May 2008 00:00:00",SE Marsh,"Punjab Cricket Association Stadium, Mohali",0,Kings XI Punjab,Deccan Chargers,Kings XI Punjab,field,Kings XI Punjab,wickets,6,N,NA,Asad Rauf,SJ Davis
419111,Ahmedabad,"Mon, 15 Mar 2010 00:00:00",V Sehwag,"Sardar Patel Stadium, Motera",0,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,wickets,6,N,NA,BG Jerling,RE Koertzen
419136,Chandigarh,"Fri, 02 Apr 2010 00:00:00",KP Pietersen,"Punjab Cricket Association Stadium, Mohali",0,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,Royal Challengers Bangalore,wickets,6,N,NA,BF Bowden,M Erasmus
419146,Chandigarh,"Fri, 09 Apr 2010 00:00:00",KC Sangakkara,"Punjab Cricket Association Stadium, Mohali",0,Kings XI Punjab,Mumbai Indians,Mumbai Indians,bat,Kings XI Punjab,wickets,6,N,NA,M Erasmus,AM Saheba
419147,Nagpur,"Sat, 10 Apr 2010 00:00:00",RJ Harris,"Vidarbha Cricket Association Stadium, Jamtha",0,Deccan Chargers,Chennai Super Kings,Chennai Super Kings,bat,Deccan Chargers,wickets,6,N,NA,HDPK Dharmasena,SJA Taufel
419155,Chennai,"Thu, 15 Apr 2010 00:00:00",G Gambhir,"MA Chidambaram Stadium, Chepauk",0,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Delhi Daredevils,wickets,6,N,NA,HDPK Dharmasena,SS Hazare
419159,Dharamsala,"Sun, 18 Apr 2010 00:00:00",MS Dhoni,Himachal Pradesh Cricket Association Stadium,0,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,6,N,NA,BF Bowden,AM Saheba
501200,Kochi,"Sat, 09 Apr 2011 00:00:00",AB de Villiers,Nehru Stadium,0,Kochi Tuskers Kerala,Royal Challengers Bangalore,Kochi Tuskers Kerala,bat,Royal Challengers Bangalore,wickets,6,N,NA,HDPK Dharmasena,K Hariharan
501204,Jaipur,"Tue, 12 Apr 2011 00:00:00",SK Warne,Sawai Mansingh Stadium,0,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,bat,Rajasthan Royals,wickets,6,N,NA,Aleem Dar,RB Tiffin
501206,Chandigarh,"Wed, 13 Apr 2011 00:00:00",PC Valthaty,"Punjab Cricket Association Stadium, Mohali",0,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,field,Kings XI Punjab,wickets,6,N,NA,Asad Rauf,SL Shastri
501235,Jaipur,"Sun, 01 May 2011 00:00:00",LRPL Taylor,Sawai Mansingh Stadium,0,Rajasthan Royals,Pune Warriors,Rajasthan Royals,field,Rajasthan Royals,wickets,6,N,NA,SK Tarapore,SJA Taufel
501250,Hyderabad,"Tue, 10 May 2011 00:00:00",MR Marsh,"Rajiv Gandhi International Stadium, Uppal",0,Deccan Chargers,Pune Warriors,Deccan Chargers,bat,Pune Warriors,wickets,6,N,NA,Asad Rauf,AM Saheba
501254,Indore,"Fri, 13 May 2011 00:00:00",KD Karthik,Holkar Cricket Stadium,0,Kochi Tuskers Kerala,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,wickets,6,N,NA,S Asnani,RJ Tucker
501259,Mumbai,"Mon, 16 May 2011 00:00:00",A Mishra,Dr DY Patil Sports Academy,0,Pune Warriors,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,wickets,6,N,NA,S Ravi,SK Tarapore
501268,Mumbai,"Tue, 24 May 2011 00:00:00",SK Raina,Wankhede Stadium,0,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,6,N,NA,Asad Rauf,SJA Taufel
548327,Bangalore,"Tue, 17 Apr 2012 00:00:00",CH Gayle,M Chinnaswamy Stadium,0,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,bat,Royal Challengers Bangalore,wickets,6,N,NA,S Asnani,S Das
